Rank,Title,Rating
239,The Iron Giant,8.1
240,The Passion of Joan of Arc,8.1
241,My Father and My Son,8.2
242,The Battle of Algiers,8.1
243,Marty Supreme,8.2
244,The Handmaiden,8.1
245,Network,8.1
246,Gangs of Wasseypur,8.2
247,To Be or Not to Be,8.1
248,The Grapes of Wrath,8.1
249,Drishyam,8.2
250,Dhurandhar,8.6
